,acronym,Phrases
18956,CMOS,complimentary metal-oxide-semiconductor (CMOS); complementary metal oxide silicon (CMOS); complementary-metal-oxide-semiconductor (CMOS); complementary metal-oxide- semiconductor (CMOS); complementary metal-oxide silicon (CMOS); complementary metal-oxide semiconductors (CMOS); complementary metal-oxide semiconductor (CMOS); complementary metal oxide semiconductor (CMOS); complementary-metal-oxide semiconductor (CMOS); complementary metaloxide semiconductor (CMOS); complementary metal-oxide-semiconductor transistor (CMOS); complementary metal-oxide-silicon (CMOS)
18957,CMOS,Complementary Metal Oxide Semiconductor (CMOS); Complementary Metal-Oxide-Semiconductor (CMOS); complementary metal-oxide-semiconductor (CMOS); Complimentary Metal-Oxide-Semiconductor (CMOS); complementary metal–oxide–semiconductor (CMOS); complementary metal oxide superconductor (CMOS)
18958,CMOS,complementary MOS (CMOS)
18959,NOs,number of unoccupied states using MP2 natural orbitals (NOs)
18960,NOs,numerical orbitals (NOs); natural orbitals (NOs)
18961,EWOD,electro-wetting on a dielectric (EWOD); Electrowetting-on-dielectric (EWOD); electrowetting-on-dielectric (EWOD); electrowetting on a dielectric (EWOD); electrowetting on dielectric (EWOD)
18962,EWOD,electric field is also widely known as electrowetting-on-dielectric (EWOD)
18963,MMESs,maximally entangled states (MMESs)
18964,TIPs,tip induced plasmons (TIPs)
18965,ORW,optically rewritable (ORW)
18966,DBs,dangling bonds (DBs)
18967,DBs,discrete breathers (DBs)
18968,LROP,long-range order parameter (LROP)
18969,GA-BP,genetic algorithm back propagation (GA-BP)
18970,SFQ,single-flux-quantum (SFQ); Single flux quantum (SFQ); single flux quanta (SFQ); single flux quantum (SFQ); single-flux-qunatum (SFQ); single-flux quantum (SFQ)
18971,VEV,vacuum expectation value (VEV); vacuum state expectation value (VEV)
18972,PMVs,partial molar volumes (PMVs)
18973,PS-b-PDMS,polystyrene-block-polydimethylsiloxane (PS-b-PDMS)
18974,SNPP,Suomi National Polar-orbiting Partnership (SNPP)
18975,FMR,field M {eff} estimated by ferromagnetic resonance (FMR); for measurements of ferromagnetic resonance (FMR); field measured by ferromagnetic resonance (FMR); frequency-domain measurements of ferromagnetic resonance (FMR)
18976,FMR,ferromagnetic-resonance (FMR); ferromagnetic resonant (FMR); ferromagnetic resonance(FMR); Ferromagnetic Resonance (FMR); ferromagnetic resonance (FMR); ferromagnetic resonances (FMR); feromagnetic resonance (FMR); Ferromagnetic resonance (FMR)
18977,FMR,frequency precessional motion of ferromagnetic resonance (FMR)
18978,FMR,ferromagnetic resonance spectrometry (FMR)
18979,FMR,forced magnetic reconnection (FMR)
18980,FMR,film samples was evaluated by measuring the ferromagnetic resonance (FMR)
18981,FMR,f {J} matches the ferromagnetic resonance (FMR)
18982,FMR,ferromagnetic microstripe arrays were studied using ferromagnetic resonance (FMR)
18983,FMR,FI material at ferromagnetic resonance (FMR)
18984,DCA,dynamic coupling analysis (DCA)
18985,DCA,distance of closest approach (DCA)
18986,DCA,detailed configuration accounting (DCA); Detailed Configuration Accounting (DCA); Direct Configuration Accounting (DCA); detailed-configuration-accounting (DCA)
18987,DCA,detailed superconfiguration non-LTE atomic model (DCA)
18988,DCA,dynamic contact angle (DCA)
18989,STs,schedulable tasks (STs)
18990,STs,satellite transitions (STs)
18991,STs,spherical tokamaks (STs); Spherical Tokamaks (STs)
18992,STs,S-transforms (STs)
18993,GIB,guided-ion beam (GIB)
18994,FDDDM,frequency domain direct decomposed method (FDDDM)
18995,ATOCF,aza-thia-open-cage fullerene (ATOCF)
18996,TOBI,Towed Ocean Bottom Instrument (TOBI)
18997,NARX,nonlinear autoregressive exogenous (NARX); nonlinear autoregressive with exogenous input (NARX)
18998,PDOS,partial DOS (PDOS)
18999,PDOS,Projected density of states (PDOS); phonon density of states (PDOS); projected density of states (PDOS); phonon densities of states (PDOS); projected densities of states (PDOS)
19000,PDOS,projected electronic density of states (PDOS); projected vibrational density of states (PDOS)
19001,PDOS,partial density-of-states (PDOS); partial density of state (PDOS); partial–density of state (PDOS); partial density of states (PDOS); partial densities of states (PDOS)
19002,PDOS,projections of the spin decomposed total density of states (PDOS)
19003,PDOS,projected DOS (PDOS)
19004,BPHC,bottoming supercritical CO {2} preheating cycle (BPHC)
19005,BPHC,bottoming preheating cycle (BPHC)
19006,NCG,noncommutative geometry (NCG)
19007,CGLS,Conjugate Gradient Least Squares (CGLS)
19008,L–L,Liquid–Liquid (L–L)
19009,L–L,L–L mode ∣dV∕dH {3}∣ {(L–L)
19010,DGFET,double-gate field-effect transistor (DGFET)
19011,TBLE,turbulent boundary layer (TBLE)
19012,CTOD,Crack Tip Opening Displacement (CTOD)
19013,PGSE-NMR,pulsed gradient spin-echo nuclear magnetic resonance (PGSE-NMR)
19014,We,was directly proportional to the d-phase flow rate (We)
19015,We,Weber (We)
19016,We,Weber number (We); Weber numbers (We)
19017,MTBF,Mean time between failures (MTBF)
19018,BNL,Brookhaven National Laboratory (BNL)
19019,FXRD,flat-response x-ray diode (FXRD); flat-response x-ray detector (FXRD)
19020,NNO,NdNiO {3} (NNO)
19021,IQEs,internal quantum efficiencies (IQEs)
19022,IRIS,Interface Region Imaging Spectrograph (IRIS)
19023,IRIS,Instrument de Recherche sur les Interfaces (IRIS)
19024,MFPAD,molecular-frame photoelectron angular distribution (MFPAD)
19025,AIM,atoms in molecules (AIM); atom-in-molecule (AIM)
19026,AIM,Apparatus for IMaging (AIM)
19027,AIM,anisotropy-invariant map (AIM); anisotropy invariant map (AIM)
19028,AIM,Anderson impurity model (AIM)
19029,AIM,asymptotic iteration method (AIM)
19030,GM-APD,Geiger-mode avalanche photodiodes (GM-APD); Geiger-mode avalanche photodiode (GM-APD)
19031,TPFT,time-portioning Fourier transform (TPFT)
19032,OLD,optical linear dichroism (OLD)
19033,H-FP,Huygens-Fresnel principle (H-FP)
19034,PBE-GGA,Perdew–Burke–Ernzerhof generalized gradient approximation (PBE-GGA); Perdew-Burke-Ernzerhof generalized gradient approximation (PBE-GGA); Perdew-Burke-Ernzerhof–Generalized Gradient Approximation (PBE-GGA); Perdew-Burke-Ernzerhof generalised gradient approximation (PBE-GGA); Perdew-Burke-Ernzerhof-generalized gradient approximation (PBE-GGA); Perdew-Burke Ernzerhof generalized gradient approximation (PBE-GGA)
19035,IRR,infrared reflectance (IRR)
19036,IRR,irradiated region (IRR)
19037,IRR,image rejection ratio (IRR)
19038,PGSE,Pulsed-Gradient Spin Echo (PGSE)
19039,NiFeCr,NiFeCr of higher resistivity (ρ (NiFeCr)
19040,DIO,Digital Input/Output (DIO)
19041,SEM/EDX,scanning electron microscopy/energy dispersive x-ray analysis (SEM/EDX)
19042,LVRT,low-voltage ride-through (LVRT)
19043,LVRT,Low Voltage Ride-Through Capability (LVRT)
19044,DHBB,dihydroxybromobenzene (DHBB)
19045,USB,universal serial bus (USB); Universal Serial Bus (USB)
19046,USB,upper sideband (USB)
19047,MPPST,mean potential phase space theory (MPPST)
19048,MARS,Multivariate Adaptive Regression Splines (MARS)
19049,MCSNP,multilayered core-shell nanoparticle (MCSNP)
19050,EIS,electrical impedance spectroscopy (EIS); Electrical Impedance Spectroscopy (EIS); electrochemical impedance spectroscopy (EIS); Electrical impedance spectroscopy (EIS); electrical impedance spectroscopic (EIS)
19051,EIS,EUV Imaging Spectrometer (EIS)
19052,EIS,excitation-induced shift (EIS)
19053,EIS,Electrochemical Impedance spectroscopy (EIS); electrochemical impedance spectrum (EIS); Electrochemical impedance spectroscopy (EIS); electrochemical impedance spectra (EIS)
19054,EIS,electrolyte-insulator-semiconductor (EIS); electrolyte insulator semiconductor (EIS)
19055,EIS,edge ignition spot (EIS)
19056,OAC,optical-absorption coefficient (OAC); optical absorption coefficient (OAC)
19057,CNL,charge neutrality level (CNL)
19058,SMF,scanning moiré fringe (SMF)
19059,SMF,single mode fibre (SMF); single-mode fiber (SMF); Single Mode Fiber (SMF); single mode fiber (SMF); single-mode-fiber (SMF)
19060,SMF,systematic molecular fragmentation (SMF)
19061,AmB,amphotericin B (AmB)
19062,MRTI,magneto-Rayleigh-Taylor instability (MRTI)
19063,SRPs,symbolic recurrence plots (SRPs)
19064,VCC-IOS,vibrationally close-coupled infinite-order sudden (VCC-IOS)
19065,PERT,passivated emitter totally diffused (PERT)
19066,JMA,Japan Meteorological Agency (JMA); Japanese Meteorological Agency (JMA)
19067,JMA,Johnson-Mehl-Avrami (JMA); Johnson–Mehl–Avrami (JMA)
19068,SSCCs,spin-spin coupling constants (SSCCs)
19069,ENLSWs,Extra-Nonlinear Solitary Waves (ENLSWs)
19070,BSFs,basal stacking faults (BSFs); basal plane stacking faults (BSFs)
19071,ARDS,acute respiratory distress syndrome (ARDS)
19072,FALC,field-aided lateral crystallization (FALC)
19073,OVO,one-versus-one (OVO)
19074,E-beam,electron-beam (E-beam)
19075,AgMNPs,Ag-coated magnetic nanoparticles (AgMNPs)
19076,VWF,von Willebrand factor (VWF); von Willebrand Factor (VWF)
19077,FNI,Fowler–Nordheim electron injection (FNI)
19078,NIMS,National Institute for Materials Science (NIMS)
19079,NIR-Vis,Near Infra Red - Visible (NIR-Vis)
19080,MR,mass ratio (MR)
19081,MR,magnetization reversal and the magnetoresistance (MR)
19082,MR,Magnetoresistive (MR); magnetoresistive (MR); Magnetoresistivity (MR); magneto-resistive (MR); magneto-resistivity (MR); magnetoresistivity (MR); Magnetoresistance (MR)
19083,MR,metal rod (MR)
19084,MR,magnetic refrigeration (MR); magnetic reconnection (MR)
19085,MR,magneto-resistance (MR); magnetic-resonance (MR); magneto resistance (MR); magnetic resonance (MR)
19086,MR,MMG recording using a multichannel magnetoresistive (MR)
19087,MR,mixed-reference (MR); multireference (MR); multi-reference (MR); mixed reference (MR)
19088,MR,Methyl Red (MR)
19089,MR,magneto-resistance magnetoresistance (MR)
19090,MR,magnetoresistance (MR); magnetoresistance ratio (MR); magnetoresistance effect (MR); magnetoresistances (MR); magnetoresistive effect (MR)
19091,MR,measuring reflector (MR)
19092,MR,memristor (MR)
19093,MR,metallization ratio (MR)
19094,MR,Mach reflection (MR)
19095,MR,might result in a decrease in the tunneling magnetoresistance (MR)
19096,MR,magnetic granular films rather than the magnitude of the magnetoresistance (MR)
19097,MR,multi-phonon relaxation (MR)
19098,MR,Magnet Ring electrode (MR)
19099,MR,macrorealism (MR)
19100,MR,magnetorheological (MR)
19101,MR,micro-Raman (MR)
19102,MR,multipurpose reflectometer (MR)
19103,MR,mass remaining (MR)
19104,MR,molar ratio (MR)
19105,HOT-BIRD,high operating temperature barrier infrared detector (HOT-BIRD)
19106,TNCs,Trinuclear Cyanines (TNCs)
19107,SAOs,small-amplitude oscillations (SAOs)
19108,FLA,folded longitudinal acoustic (FLA)
19109,FLA,flash lamp annealing (FLA)
19110,TDRC,thermal dielectric relaxation current (TDRC)
19111,HDVV,Heisenberg-Dirac-Van Vleck (HDVV)
19112,Relaxor–PT,relaxor–PbTiO {3} (Relaxor–PT)
19113,T-NPC,T-type neutral point clamped (T-NPC)
19114,FBDEs,first bond dissociation energies (FBDEs); first M—CO bond dissociation energies (FBDEs)
19115,SDIV,Surface discharge inception voltage (SDIV)
19116,TPGs,transient plasma gratings (TPGs)
19117,HLLC,Harten-Lax-Leer-Contact (HLLC); Harten Lax van Leer Contact (HLLC); Harten-Lax-van Leer-Contact (HLLC)
19118,STNO,spin torque nano-oscillator (STNO)
19119,CAS,Complete active space (CAS); complete-active-space (CAS); complete active space (CAS)
19120,CAS,capture and acceleration scenario (CAS)
19121,CAS,Czech Academy of Sciences (CAS); Chinese Academy of Sciences (CAS)
19122,CAS,concurrent adaptive sampling (CAS)
19123,CAS,chemical abstract service (CAS)
19124,CAS,computer algebra system (CAS)
19125,NFW,Navarro-Frenk-White (NFW)
19126,BAAE,beta-induced Alfvén-acoustic eigenmode (BAAE)
19127,TB-mBJ,Tran-Blaha modified Becke-Johnson (TB-mBJ)
19128,TB-mBJ,Tran–Blaha modified Becke–Johnson exchange potential (TB-mBJ)
19129,EGP,equal graph partitioning (EGP)
19130,BBR,band bending region (BBR)
19131,BBR,black box radiator (BBR)
19132,RDC,reaction-diffusion-convection (RDC)
19133,RDC,rhodium molecule (RDC)
19134,RDC,relative damage coefficient (RDC)
19135,RDC,ring-down cavity (RDC)
19136,GAS,general active-space (GAS); generalized-active-space (GAS); general active space (GAS)
19137,GAS,gas aggregation cluster sources (GAS)
19138,GAS,Ge–As–S (GAS)
19139,BAECs,bovine aortic endothelial cells (BAECs)
19140,CORs,compositionally ordered regions (CORs); chemically ordered regions (CORs)
19141,BHJ,bulk-heterojunction (BHJ); Bulk HeteroJunction” (BHJ); Bulk Hetero-Junction (BHJ); bulk hetero-junction (BHJ); bulk heterojunction (BHJ)
19142,DLM-MD,disordered local moment molecular dynamics (DLM-MD); disordered local moments molecular dynamics (DLM-MD)
19143,HNBR,hydrogenation acrylonitrile-butadiene rubber (HNBR); hydrogenated nitrile butadiene rubber (HNBR)
19144,SIRM,scanning infrared microscope (SIRM); scanning infrared microscopy (SIRM)
19145,MQT,magnetic quantum tunneling (MQT); macroscopic quantum tunneling (MQT)
19146,MDPs,Mass density profiles (MDPs)
19147,EECE,enthalpy-entropy compensation effect (EECE)
19148,SWAN,Simulating WAves Nearshore (SWAN)
19149,VACNTs,vertically aligned CNTs (VACNTs)
19150,H-FiM,homogeneous-ferrimagnetic (H-FiM); homogeneous ferrimagnetic (H-FiM)
19151,SMPP,surface magneto-plasmon-polariton (SMPP)
19152,DAR,depthwise aspect ratio (DAR)
19153,LFN,low-frequency noise (LFN)
19154,Erf,error function (Erf)
19155,EPICs,Electronic Photonic integrated circuits on Si (EPICs); electronic-photonic integrated circuits (EPICs); electro-photonic integrated circuits (EPICs)
19156,MATFBG,multi-angle TFBG (MATFBG)
19157,DRS,Diffuse reflectance spectroscopy (DRS); Diffusion Reflectance Spectroscopy (DRS); differential reflectance spectroscopy (DRS); diffuse reflectance spectroscopy (DRS)
19158,DRS,Dielectric relaxation spectroscopy (DRS); dielectric relaxation spectroscopy (DRS)
19159,DRS,diffuse reflectance measurements (DRS); Diffuse reflectance spectrum (DRS); diffuse reflectance spectrometer (DRS); Diffuse reflectance spectrometer (DRS); diffuse reflectance system (DRS)
19160,DRS,direct readout scheme (DRS)
19161,ADN,active distribution network (ADN); active distributed network (ADN)
19162,A2,as the doubly excited π {g} bends 1102 (A2)
19163,A2,as-cast Fe {78}Ga {22} alloy has an average BCC structure (A2)
19164,A2,asymmetric bend 1102 (A2)
19165,A2,a unique contravariant metric hA∈Γ∨^{2}TM satisfying the conditions (A2)
19166,MC-LR,multi-configurational linear response theory (MC-LR)
19167,SA-LIBS,spark assisted LIBS (SA-LIBS)
19168,SA-LIBS,spark assisted laser induced breakdown spectroscopy (SA-LIBS)
19169,QP4VP,quarternized poly 4-vinylpyridine (QP4VP)
19170,SG-DBR,sampled-grating distributed-Bragg-reflector (SG-DBR)
19171,PDAC,precise DAC (PDAC)
19172,SC,spatial correlation (SC)
19173,SC,single-crystal (SC); sonic crystal (SC); single crystals (SC); single-crystalline (SC); single crystal (SC)
19174,SC,Simple Cubic (SC); Simple cubic (SC); simple cubic (SC)
19175,SC,supercooled (SC); supercoiled (SC)
19176,SC,Stochastic Computing (SC); stochastic computing (SC)
19177,SC,secondary concentrator (SC)
19178,SC,single channel (SC); single character (SC)
19179,SC,soft computing (SC); Soft computing (SC)
19180,SC,supplying the carriers necessary for superconductivity (SC)
19181,SC,semi-classical (SC); semiclassical (SC); semi-canonical (SC)
19182,SC,superconducting (SC); superconductor alone (SC); Superconductive (SC); superconductive (SC); semiconductor (SC); superconductor (SC); superconductivity (SC); superconductors (SC); superconducting coil (SC)
19183,SC,strong coupling (SC); slot coupling (SC)
19184,SC,self-consistent field (SC); self-consistent (SC)
19185,SC,superconducting tape layers (SC)
19186,SC,Steel cup floating voltage (SC)
19187,SC,studying correlations and for description of superconductivity (SC)
19188,SC,structure with the lower density (SC)
19189,SC,spin polarization at the ferromagnetic-metal/semiconductor (SC)
19190,SC,small-core (SC); small core (SC)
19191,SC,serve applications relying on the non-volatile control of superconducting (SC)
19192,SC,spin-complete (SC)
19193,SC,sample cell (SC)
19194,SC,superconducting side of the tapes (SC)
19195,SC,screened Coulomb (SC)
19196,SC,space-charge (SC); surface charge (SC)
19197,SC,SFs with corresponding order parameters S in different supercells (SC)
19198,SC,slow coalescence (SC)
19199,SC,strong correlation (SC)
19200,SC,steel cup (SC)
19201,SC,stratum corneum (SC); Stratum Corneum (SC)
19202,SC,semiconductor cavity (SC); semiconductor channel (SC)
19203,SC,supercapacitor (SC); super-capaciror (SC); supercapacitors (SC)
19204,SC,supercell (SC)
19205,SC,Schottky contact (SC)
19206,SC,Square connectors (SC)
19207,SC,short-circuit (SC)
19208,SC,super-critical (SC)
19209,SC,spin-mixing conductance at the metal/semiconductor (SC)
19210,SC,show that these observations can be described by a model of superconducting (SC)
19211,SC,Spatial Channeling (SC)
19212,SC,Short Current Pulse (SC)
19213,SC,secondary electron cutoff (SC); Secondary electron cutoff (SC)
19214,SC,single component (SC)
19215,SC,SiH {4} concentration (SC); silane concentration (SC)
19216,SC,scattering chamber (SC)
19217,SC,Stable Cavity (SC); stable cavity (SC)
19218,SC,spin-conserved (SC)
19219,SC,servo controller (SC)
19220,SC,Seebeck coefficient (SC)
19221,SC,soft-core (SC)
19222,SC,supercontinuum (SC)
19223,SC,structural connectivity (SC)
19224,SC,structures consisting of a superconducting (SC)
19225,SC,source to keep a constant nominal composition of the superconducting (SC)
19226,SC,study the Josephson coupling of superconducting (SC)
19227,RER,Refraction Enhanced Radiography (RER); refraction enhanced radiography (RER)
19228,RER,Renewable Energy Resources (RER)
19229,RER,read error rate (RER)
19230,SWTs,Savonius wind turbines (SWTs)
19231,RESURF,reduced surface field (RESURF)
19232,ODMs,orbital density difference maps (ODMs)
19233,DEER,double electron-electron resonance (DEER)
19234,LNCS,liquid nitrogen cooling system (LNCS)
19235,SASE,self-amplified spontaneous emission (SASE); self-amplified spontaneous-emission (SASE)
